Variable,Correlación
TARGET,1.0
ENPR-00105,0.3101531456530326
ENPR-00111,0.23164014167418734
ENPR-00103,0.21833278774309112
ENPR-00101,0.21636153448699283
ENPR-00100,0.20561358684750017
RANGO_TIEMPO_BCP,0.10077324193074509
TIEMPO_BCP,0.08759840854662282
RANGO_EDAD,0.050717973006291
GENERO,0.03557019688828595
